Title,Price,Website,Rating,Description,Fetched At
Samsung Crystal 4K Infinity Vision 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2025 Edition with 4K Upscaling | HDR 10+ | Voice Assistance Remote Control | PurColor | Slim Look | Samsung Knox Security | 100+ Free Channels | Universal Gestures  (UA43UE84AFULXL),"₹25,490",flipkart,,,2025-09-28T13:48:52.027Z
Samsung 108 cm (43 inch) Full HD LED Smart Tizen TV 2025 Edition with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony  (UA43F5550FUXXL),"₹21,990",flipkart,,,2025-09-28T13:48:53.191Z
LG LR570 80 cm (32 inch) HD Ready LED Smart WebOS TV 2025 Edition with Alpha5 Gen 6 AI Processor | 100+ Free LG Channels | AI Brightness Control | AI Sound (Virtual Surround 5.1 Up-mix) | FTA Satellite Port | Magic Remote Compatible | 60Hz Refresh Rate | Alexa Built In | Works with Hey Google  (32LR570B6LA),"₹12,490",flipkart,,,2025-09-28T13:48:53.989Z
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV 2025 Edition with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony  (UA32H4500FUXXL),"₹11,990",flipkart,,,2025-09-28T13:48:54.299Z
"Blaupunkt Quantum Dot 100 cm (40 inch) QLED Full HD Smart Android TV 2025 Edition with 48W Sound Output | Dolby Audio | Bezel Less Design | RealTek Processor|Chromecast| 10,000 Plus Apps and Games | Google Assistant  (40QD7070)","₹13,799",flipkart,,,2025-09-28T13:48:54.699Z
Samsung Crystal 4K Vista 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2025 Edition with 4K Upscaling | HDR 10+ | PurColor | Slim Look | Samsung Knox Security | 100+ Free Channels | Voice Ready with SmartThings App | Universal Gestures  (UA43UE81AFULXL),"₹24,990",flipkart,,,2025-09-28T13:48:55.180Z
TCL T6C 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with HDR 10+ | Dolby Vision- Atmos 24W |120 Hz Game Accelerator (DLG) | Metallic Bezel-Less  (55T6C),"₹32,990",flipkart,,,2025-09-28T13:48:55.666Z
iFFALCON by TCL U65 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition with MEMC | Dolby Vision-Atmos | HVA Panel & Metallic Bezel-Less  (55U65),"₹22,499",flipkart,,,2025-09-28T13:48:56.060Z
SONY BRAVIA 2 II 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition  (K-55S25EM2),"₹55,999",flipkart,,,2025-09-28T13:48:56.397Z
realme TechLife 80 cm (32 inch) QLED HD Ready Smart Google TV 2025 Edition  (32HDGQRDDAQ),"₹8,999",flipkart,,,2025-09-28T13:48:57.034Z
